,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.391,0.808,8,-6.209,0,0.0892,0.0759,0.0,0.149,0.737,100.304,audio_features,7BHPGtpuuWWsvE7cCaMuEU,spotify:track:7BHPGtpuuWWsvE7cCaMuEU,https://api.spotify.com/v1/tracks/7BHPGtpuuWWsvE7cCaMuEU,https://api.spotify.com/v1/audio-analysis/7BHPGtpuuWWsvE7cCaMuEU,203507,4
1,0.63,0.666,7,-7.186,1,0.045,0.0481,0.000567,0.104,0.288,115.973,audio_features,3ZoQQ6WKyt2Gu58VoHTPd3,spotify:track:3ZoQQ6WKyt2Gu58VoHTPd3,https://api.spotify.com/v1/tracks/3ZoQQ6WKyt2Gu58VoHTPd3,https://api.spotify.com/v1/audio-analysis/3ZoQQ6WKyt2Gu58VoHTPd3,232760,4
2,0.358,0.851,8,-3.76,1,0.0549,9.66e-05,0.0,0.363,0.341,146.028,audio_features,2PAeLLcnw42x5ZszOfFz50,spotify:track:2PAeLLcnw42x5ZszOfFz50,https://api.spotify.com/v1/tracks/2PAeLLcnw42x5ZszOfFz50,https://api.spotify.com/v1/audio-analysis/2PAeLLcnw42x5ZszOfFz50,210405,4
3,0.41,0.803,7,-5.363,1,0.0623,0.239,0.0,0.103,0.814,153.315,audio_features,5xoUgPXbMNUmoHU0Enwtwq,spotify:track:5xoUgPXbMNUmoHU0Enwtwq,https://api.spotify.com/v1/tracks/5xoUgPXbMNUmoHU0Enwtwq,https://api.spotify.com/v1/audio-analysis/5xoUgPXbMNUmoHU0Enwtwq,169307,4
4,0.352,0.911,1,-5.23,1,0.0747,0.00121,0.0,0.0995,0.236,148.033,audio_features,003vvx7Niy0yvhvHt4a68B,spotify:track:003vvx7Niy0yvhvHt4a68B,https://api.spotify.com/v1/tracks/003vvx7Niy0yvhvHt4a68B,https://api.spotify.com/v1/audio-analysis/003vvx7Niy0yvhvHt4a68B,222973,4
5,0.394,0.88,11,-5.262,0,0.036,0.000387,0.000475,0.284,0.292,112.225,audio_features,3OxSTFnMTWKvKdEAecY58v,spotify:track:3OxSTFnMTWKvKdEAecY58v,https://api.spotify.com/v1/tracks/3OxSTFnMTWKvKdEAecY58v,https://api.spotify.com/v1/audio-analysis/3OxSTFnMTWKvKdEAecY58v,211000,4
6,0.496,0.857,0,-3.313,1,0.0649,0.0622,0.0,0.0495,0.619,167.144,audio_features,0wG4gampO24nC7VKm5pxjg,spotify:track:0wG4gampO24nC7VKm5pxjg,https://api.spotify.com/v1/tracks/0wG4gampO24nC7VKm5pxjg,https://api.spotify.com/v1/audio-analysis/0wG4gampO24nC7VKm5pxjg,223813,4
7,0.551,0.819,2,-4.489,1,0.0525,0.0103,0.0437,0.153,0.846,174.917,audio_features,2DrGEaqoruCSn0FffWCf5O,spotify:track:2DrGEaqoruCSn0FffWCf5O,https://api.spotify.com/v1/tracks/2DrGEaqoruCSn0FffWCf5O,https://api.spotify.com/v1/audio-analysis/2DrGEaqoruCSn0FffWCf5O,137760,4
8,0.654,0.828,1,-5.377,0,0.0281,0.00146,0.000144,0.122,0.79,112.056,audio_features,2x8evxqUlF0eRabbW2JBJd,spotify:track:2x8evxqUlF0eRabbW2JBJd,https://api.spotify.com/v1/tracks/2x8evxqUlF0eRabbW2JBJd,https://api.spotify.com/v1/audio-analysis/2x8evxqUlF0eRabbW2JBJd,183893,4
9,0.617,0.759,0,-6.785,0,0.0677,0.0026,0.0,0.419,0.324,122.925,audio_features,4cH7XOPBjVUD5Mwo9F2TVz,spotify:track:4cH7XOPBjVUD5Mwo9F2TVz,https://api.spotify.com/v1/tracks/4cH7XOPBjVUD5Mwo9F2TVz,https://api.spotify.com/v1/audio-analysis/4cH7XOPBjVUD5Mwo9F2TVz,218773,4
